z	Interpolated	Integral
0.0127	0.994161839284525	0.00978091964226269
0.0128	0.994115869515112	0.00985793475755609
0.0129	0.994069899745699	0.0099349498728495
0.013	0.994023929976286	0.0100119649881429
0.0131	0.993977960206873	0.0100889801034363
0.0132	0.99393199043746	0.0101659952187297
0.0133	0.993886020668046	0.0102430103340231
0.0134	0.993840050898633	0.0103200254493165
0.0135	0.99379408112922	0.0103970405646099
0.0136	0.993748111359807	0.0104740556799034
0.0137	0.993702141590393	0.0105510707951968
0.0138	0.99365617182098	0.0106280859104902
0.0139	0.993610202051567	0.0107051010257836
0.014	0.993564232282154	0.010782116141077
0.0141	0.993518262512741	0.0108591312563704
0.0142	0.993472292743328	0.0109361463716638
0.0143	0.993426322973914	0.0110131614869572
0.0144	0.993380353204501	0.0110901766022506
0.0145	0.993334383435088	0.011167191717544
